arm,neg_target,pick,normal_protocol,calibration_regime,guarantee_scope,alpha,n_calibration,n_model_seeds,split_repeats_per_model,tau_mean,tau_std,tau_ci95_low,tau_ci95_high,normal_FAR_mean,normal_FAR_std,normal_FAR_ci95_low,normal_FAR_ci95_high,mixed_coverage_mean,mixed_coverage_std,mixed_coverage_ci95_low,mixed_coverage_ci95_high,mixed_bitF1_all_mean,mixed_bitF1_all_std,mixed_bitF1_all_ci95_low,mixed_bitF1_all_ci95_high,mixed_bitF1_accepted_mean,mixed_bitF1_accepted_std,mixed_bitF1_accepted_ci95_low,mixed_bitF1_accepted_ci95_high,mixed_FAR_mean,mixed_FAR_std,mixed_FAR_ci95_low,mixed_FAR_ci95_high,normal_FAR_minus_alpha
cutmix,0.0,scale050_5split_headline,real_normal_eval,real_normal_split,real_normal_exchangeable,0.005,200,5,50,0.9938585362434388,0.008962835215057679,0.9858012020587921,0.9993688700199126,0.005390000000000001,0.0006730527468185537,0.004859500000000001,0.005890000000000001,0.6191130666666667,0.3357945727658835,0.32248186666666667,0.8489357333333333,0.3908756891063598,0.21263429028020725,0.2068933505896585,0.5421904270613987,0.5932711752335742,0.04138667260864929,0.5571281248493976,0.6223932684305937,0.002432732664806856,0.003105650527934544,0.00031134233079494335,0.005210083188821031,0.0003900000000000006
cutmix,0.0,scale050_5split_headline,real_normal_eval,real_normal_split,real_normal_exchangeable,0.005,500,5,50,0.9960909533500673,0.005611550595731219,0.9910850651264191,0.9995764071941375,0.004064,0.00035168167424533254,0.0037600000000000003,0.004328,0.6068112,0.3416848623221241,0.31720266666666663,0.846236,0.3800373169993271,0.2123836538974392,0.19254869488823823,0.5316322259127026,0.5889321922650493,0.03691271535680188,0.5574224121729994,0.61602226381123,0.0020326723466284656,0.002625867376857477,0.00022367991153333838,0.004357938123602001,-0.0009360000000000002
cutmix,0.0,scale050_5split_headline,real_normal_eval,real_normal_split,real_normal_exchangeable,0.01,100,5,50,0.9872312607765197,0.017114757065892907,0.9719639258384705,0.9979931471347809,0.011057777777777777,0.0008010178709801857,0.010515555555555556,0.011751111111111111,0.6880605333333334,0.3244299657150472,0.4023410666666667,0.9003541333333333,0.44330549381974044,0.21103121494778643,0.2680386398883436,0.5888909424089525,0.60759912577671,0.03984300969300341,0.5784865770210539,0.6419540081082501,0.0035041845736258764,0.004116608048670217,0.0006468621980949508,0.0071730880394078765,0.0010577777777777773
cutmix,0.0,scale050_5split_headline,real_normal_eval,real_normal_split,real_normal_exchangeable,0.01,200,5,50,0.9887481925487519,0.015748411776185425,0.9748186364173888,0.9983514001369477,0.0095,0.0007112928370228396,0.008975,0.010025000000000001,0.7118362666666667,0.33156452024291005,0.4146285333333333,0.9179482666666667,0.45753121853524226,0.2139369249901404,0.27573716904598006,0.5969098472467802,0.6096577529463157,0.0379108094435725,0.5829046353380793,0.6433598199202281,0.0034483902586141895,0.004081517092389364,0.0006308778808213325,0.007103018422176982,-0.0005000000000000004
cutmix,0.0,scale050_5split_headline,real_normal_eval,real_normal_split,real_normal_exchangeable,0.01,500,5,50,0.9873080809116364,0.017321646941987096,0.9719535298347474,0.9982721135616301,0.010159999999999999,0.0009769339793455846,0.009464,0.010927999999999998,0.745028,0.338792324332572,0.4373818666666667,0.9471162666666666,0.4816610865106866,0.22075431082686242,0.2866937414213338,0.6240058993017293,0.6159329836096741,0.0431731057250088,0.5843272992074754,0.6518138107832584,0.003897760687627234,0.004517311796494083,0.0006813943552238055,0.007831460956545779,0.00015999999999999868
cutmix,0.0,scale050_5split_headline,real_normal_eval,real_normal_split,real_normal_exchangeable,0.02,100,5,50,0.9764239804744721,0.030362357726188064,0.9494082169532778,0.995497682571411,0.019786666666666668,0.0010728524342513335,0.01888,0.02058222222222222,0.7769258666666666,0.3106643814645566,0.49567519999999987,0.9518562666666668,0.5110661701857273,0.20777457844294953,0.3267570770938956,0.6384762852226222,0.6268706701082516,0.04604003422633158,0.5939545419443273,0.6617823246652714,0.004956294453240846,0.005363407983348579,0.001199024856116012,0.009469702681645683,-0.00021333333333333274
cutmix,0.0,scale050_5split_headline,real_normal_eval,real_normal_split,real_normal_exchangeable,0.02,200,5,50,0.9768936727046966,0.03134721996310731,0.9486809098720551,0.9960178928375244,0.019905,0.0020487343654070926,0.018395,0.021425000000000007,0.7913922666666666,0.3092213696890232,0.5106050666666666,0.9642589333333331,0.5213141476582727,0.20739005540477043,0.3338653098382206,0.6495741570176922,0.6282578866031718,0.05055747321626587,0.5915989203743788,0.6716996402340434,0.005108145467340219,0.005614162035317355,0.0011610746688783331,0.010095654577898414,-9.500000000000133e-05
cutmix,0.0,scale050_5split_headline,real_normal_eval,real_normal_split,real_normal_exchangeable,0.02,500,5,50,0.9772062051296235,0.0288459856544001,0.9517025618553161,0.9959267117977142,0.02024,0.0008466404195406679,0.01948,0.020728,0.7928869333333333,0.32098127544612665,0.5001848,0.9697621333333333,0.5239603345816368,0.21468420265889743,0.33687156353135184,0.6552805506400554,0.6309956000384038,0.050170206705731794,0.5942636463383364,0.6729198719799127,0.0051987735303727165,0.005575704161240842,0.001207268340496117,0.009781597929075875,0.00024000000000000063
cutmix,0.0,scale050_5split_headline,real_normal_eval,real_normal_split,real_normal_exchangeable,0.05,100,5,50,0.9414858930110931,0.06878288718566125,0.881336405992508,0.986714543581009,0.048031111111111115,0.004859954783105203,0.04422666666666667,0.051693333333333334,0.8696034666666665,0.22028422850409524,0.6690208,0.9864586666666666,0.5928320073737335,0.1677425955369049,0.4419530860002846,0.696137962261177,0.6554532775587585,0.06488184766131432,0.6024130726643309,0.7047352573365755,0.008027645831762548,0.007674861293034094,0.0025627686043881476,0.014815753097589784,-0.001968888888888888
cutmix,0.0,scale050_5split_headline,real_normal_eval,real_normal_split,real_normal_exchangeable,0.05,200,5,50,0.9397538359165191,0.07092026452981363,0.8769878869056702,0.9861012907028197,0.05033,0.003925931418147803,0.04712,0.053434999999999996,0.8805045333333335,0.20939464776477298,0.6906168,0.9882170666666668,0.6015723377995474,0.16202854991729582,0.45521024807508736,0.69996183436902,0.657911319038479,0.06653351892196004,0.6032748094423634,0.706529113502613,0.008305159717509865,0.0077940755568003135,0.0026987358315112217,0.014603583905099402,0.00032999999999999696
cutmix,0.0,scale050_5split_headline,real_normal_eval,real_normal_split,real_normal_exchangeable,0.05,500,5,50,0.9390086913108826,0.06849321842223191,0.8791463589668276,0.9855187900066376,0.051528,0.0014678964541138455,0.05023999999999999,0.052503999999999995,0.8817922666666667,0.21331042388531632,0.6884688,0.9897261333333333,0.6041967065857841,0.16481790481937877,0.4616632328587246,0.702715822861667,0.6596443588210057,0.06789477888522288,0.6036248046148811,0.7098694486655808,0.008452888989419186,0.007745169298876366,0.0027805674935283626,0.01510739149011033,0.0015279999999999946
