tag,arm,cell_layout,grid,n_groups,neg_target,seed,real_bitF1,normal_FAR,best_ep,bitF1_farq01,bitF1_farq05,bitF1_farq10
fcmpm_cb_g2_grid10_neg0.20,fcm_pm,checkerboard,10,2,0.2,0,0.7883792822053678,0.136,23,0.7424078489648825,0.775203013974879,0.7849936415290174
fcmpm_cb_g2_grid10_neg0.20,fcm_pm,checkerboard,10,2,0.2,1,0.7630621898247267,0.002,25,0.7783100829444928,0.7844972113721579,0.785781023214255
fcmpm_cb_g2_grid10_neg0.20,fcm_pm,checkerboard,10,2,0.2,2,0.7499688343651766,0.03,25,0.7307186881322724,0.7552890293137039,0.7607940789818793
fcmpm_cb_g3_grid6_neg0.05,fcm_pm,checkerboard,6,3,0.05,0,0.7684541394444255,0.456,23,0.722710325070214,0.7356409630645223,0.7435848785418343
fcmpm_cb_g3_grid6_neg0.05,fcm_pm,checkerboard,6,3,0.05,1,0.754047687571782,0.567,23,0.6329512279261419,0.6707511176774226,0.688111680817001
fcmpm_cb_g3_grid6_neg0.05,fcm_pm,checkerboard,6,3,0.05,2,0.7586925391776561,0.017,25,0.7531067935438241,0.7774199408767046,0.7842074173785679
fcmpm_cb_g3_grid6_neg0.10,fcm_pm,checkerboard,6,3,0.1,0,0.7703544012497702,0.458,23,0.7314738405587128,0.7486537634597427,0.7528033959869197
fcmpm_cb_g3_grid6_neg0.10,fcm_pm,checkerboard,6,3,0.1,1,0.7483348967974321,0.384,18,0.7004701051773,0.7236935609506933,0.7335078499538751
fcmpm_cb_g3_grid6_neg0.10,fcm_pm,checkerboard,6,3,0.1,2,0.7664509102781664,0.006,25,0.7700751615558832,0.7847183139524766,0.7892038525870166
fcmpm_cb_g3_grid6_neg0.20,fcm_pm,checkerboard,6,3,0.2,0,0.7867565416534773,0.45,23,0.7540830895846495,0.7642469466077234,0.7696563093525434
fcmpm_cb_g3_grid6_neg0.20,fcm_pm,checkerboard,6,3,0.2,1,0.7932319484974565,0.599,24,0.678994779745904,0.7154170388056219,0.7324532146555237
fcmpm_cb_g3_grid6_neg0.20,fcm_pm,checkerboard,6,3,0.2,2,0.7976029498110196,0.026,25,0.784319471080528,0.8055130122504727,0.8101484608834989
fcmpm_cb_g3_grid9_neg0.05,fcm_pm,checkerboard,9,3,0.05,0,0.7460847600980803,0.124,25,0.6701156647993652,0.7187333278123088,0.7395523573313972
fcmpm_cb_g3_grid9_neg0.05,fcm_pm,checkerboard,9,3,0.05,1,0.7305398211306459,0.028,23,0.7195383743207194,0.7389075208782608,0.7466363041124805
fcmpm_cb_g3_grid9_neg0.05,fcm_pm,checkerboard,9,3,0.05,2,0.7262229553614623,0.005,25,0.7325120128333092,0.7445575760973223,0.7549625243608903
fcmpm_cb_g3_grid9_neg0.10,fcm_pm,checkerboard,9,3,0.1,0,0.761748911502616,0.071,25,0.7225343620842093,0.756280718086949,0.7706037440220358
fcmpm_cb_g3_grid9_neg0.10,fcm_pm,checkerboard,9,3,0.1,1,0.749407066357798,0.112,25,0.7019532636508891,0.7356767395946323,0.7472509339119876
fcmpm_cb_g3_grid9_neg0.10,fcm_pm,checkerboard,9,3,0.1,2,0.7749633605431977,0.009,25,0.7785583204396719,0.7976475477085301,0.8024872048707662
fcmpm_cb_g3_grid9_neg0.20,fcm_pm,checkerboard,9,3,0.2,0,0.7841485114289335,0.013,25,0.7746257013370332,0.7973438607982627,0.8012170304436596
fcmpm_cb_g3_grid9_neg0.20,fcm_pm,checkerboard,9,3,0.2,1,0.767200924840065,0.169,18,0.7194134466598746,0.7492491406355152,0.7610962398440302
fcmpm_cb_g3_grid9_neg0.20,fcm_pm,checkerboard,9,3,0.2,2,0.7983465515423607,0.122,23,0.7751307018547191,0.7896915817961663,0.7965454026745603
fcmpm_cb_g3_grid12_neg0.05,fcm_pm,checkerboard,12,3,0.05,0,0.7235745076679799,0.172,25,0.6657032268462258,0.6930163116994107,0.7115184967478855
fcmpm_cb_g3_grid12_neg0.05,fcm_pm,checkerboard,12,3,0.05,1,0.7245775030416265,0.071,25,0.6868138403426571,0.7148627411622864,0.730844582104161
fcmpm_cb_g3_grid12_neg0.05,fcm_pm,checkerboard,12,3,0.05,2,0.7124554270697976,0.003,18,0.7463813447452798,0.7539154319907758,0.7554862585106918
fcmpm_cb_g3_grid12_neg0.10,fcm_pm,checkerboard,12,3,0.1,0,0.7380321701188889,0.051,25,0.707846163596646,0.7377763701554972,0.7502913209848244
fcmpm_cb_g3_grid12_neg0.10,fcm_pm,checkerboard,12,3,0.1,1,0.7314715022937804,0.132,22,0.686439789857308,0.7139030354060735,0.7243122241501306
fcmpm_cb_g3_grid12_neg0.10,fcm_pm,checkerboard,12,3,0.1,2,0.72627170254463,0.014,25,0.7111954066923739,0.7515128986022547,0.7592398531791084
fcmpm_cb_g3_grid12_neg0.20,fcm_pm,checkerboard,12,3,0.2,0,0.7749304009257297,0.185,25,0.7242592975839965,0.751952325877313,0.7645455433168951
fcmpm_cb_g3_grid12_neg0.20,fcm_pm,checkerboard,12,3,0.2,1,0.7342624727802329,0.196,23,0.7010438390357212,0.7215375825100311,0.7291480342407332
fcmpm_cb_g3_grid12_neg0.20,fcm_pm,checkerboard,12,3,0.2,2,0.7544043345675696,0.041,24,0.7348368283248058,0.7578170716278079,0.7677077293847177
fcmpm_cb_g3_grid15_neg0.05,fcm_pm,checkerboard,15,3,0.05,0,0.6851765280384893,0.05,20,0.6662255224010335,0.6852671287041381,0.6973971374468017
fcmpm_cb_g3_grid15_neg0.05,fcm_pm,checkerboard,15,3,0.05,1,0.7264932364963482,0.034,25,0.7024474740775921,0.7320152216141738,0.7380485651738641
fcmpm_cb_g3_grid15_neg0.05,fcm_pm,checkerboard,15,3,0.05,2,0.7218510243394379,0.002,25,0.7338693149585468,0.7478828266920575,0.7518894172288948
fcmpm_cb_g3_grid15_neg0.10,fcm_pm,checkerboard,15,3,0.1,0,0.7023410849480882,0.09,20,0.6662870319686488,0.6884080231837558,0.7042162929645622
fcmpm_cb_g3_grid15_neg0.10,fcm_pm,checkerboard,15,3,0.1,1,0.7295968651231736,0.095,24,0.7103057024517164,0.7235018967454728,0.7300922669191093
fcmpm_cb_g3_grid15_neg0.10,fcm_pm,checkerboard,15,3,0.1,2,0.7318506403255394,0.005,25,0.7383488510706258,0.7645065364980462,0.7701935598119176
