dataset,regime,arm,matched,seed,bit_f1,mAP,far,normal_far,pos_prob,neg_prob
kmnist,partition,oracle,partition,2,0.6959,0.7878,0.0576,0.0,0.6522,0.0752
kmnist,superposition,overlay,overlay,0,0.545,0.6496,0.0632,1.0,0.488,0.1096
kmnist,superposition,overlay,overlay,1,0.5639,0.6582,0.0622,0.0,0.5093,0.1037
kmnist,superposition,overlay,overlay,2,0.5424,0.6449,0.0512,0.0,0.4627,0.108
kmnist,superposition,partition,overlay,0,0.3242,0.5402,0.0285,0.0,0.2574,0.0459
kmnist,superposition,partition,overlay,1,0.3389,0.5474,0.0414,0.0,0.276,0.0515
kmnist,superposition,partition,overlay,2,0.3487,0.5665,0.0249,0.0,0.264,0.0361
kmnist,superposition,single_only,overlay,0,0.2741,0.4743,0.0366,0.0,0.2328,0.0646
kmnist,superposition,single_only,overlay,1,0.2583,0.4593,0.0469,0.0,0.2233,0.07
kmnist,superposition,single_only,overlay,2,0.2499,0.451,0.0509,0.0,0.2265,0.0757
kmnist,superposition,oracle,overlay,0,0.5495,0.6499,0.0639,0.0,0.4879,0.1092
kmnist,superposition,oracle,overlay,1,0.5665,0.6675,0.0683,0.0,0.5218,0.1099
kmnist,superposition,oracle,overlay,2,0.5488,0.6486,0.0551,0.0,0.4753,0.1081
emnist_letters,partition,overlay,partition,0,0.3322,0.6175,0.0029,0.0,0.2358,0.0054
emnist_letters,partition,overlay,partition,1,0.3624,0.6319,0.0038,0.0,0.2541,0.0058
emnist_letters,partition,overlay,partition,2,0.3468,0.6106,0.0055,0.0,0.2583,0.0091
emnist_letters,partition,partition,partition,0,0.6381,0.7073,0.0202,0.0,0.5728,0.0351
emnist_letters,partition,partition,partition,1,0.6253,0.7101,0.0188,0.0,0.569,0.0297
emnist_letters,partition,partition,partition,2,0.5921,0.6849,0.0206,0.0,0.5364,0.0343
emnist_letters,partition,single_only,partition,0,0.316,0.5435,0.0077,1.0,0.2245,0.0103
emnist_letters,partition,single_only,partition,1,0.334,0.5693,0.0051,0.0,0.2256,0.0069
emnist_letters,partition,single_only,partition,2,0.3027,0.5296,0.0056,1.0,0.2095,0.0086
emnist_letters,partition,oracle,partition,0,0.6308,0.7063,0.0207,0.0,0.5691,0.0347
emnist_letters,partition,oracle,partition,1,0.6334,0.7091,0.0219,0.0,0.5896,0.0334
emnist_letters,partition,oracle,partition,2,0.5793,0.6717,0.0233,0.0,0.5305,0.0376
emnist_letters,superposition,overlay,overlay,0,0.3888,0.4831,0.0137,0.0,0.34,0.0451
emnist_letters,superposition,overlay,overlay,1,0.4448,0.5164,0.0179,0.0,0.3775,0.0423
emnist_letters,superposition,overlay,overlay,2,0.3928,0.4947,0.0139,0.0,0.3515,0.0495
emnist_letters,superposition,partition,overlay,0,0.2099,0.3979,0.0174,0.0,0.1794,0.0245
emnist_letters,superposition,partition,overlay,1,0.2342,0.3848,0.0227,0.0,0.2098,0.0298
emnist_letters,superposition,partition,overlay,2,0.2469,0.4047,0.014,0.0,0.195,0.0213
emnist_letters,superposition,single_only,overlay,0,0.2087,0.364,0.0151,1.0,0.1729,0.0233
emnist_letters,superposition,single_only,overlay,1,0.2187,0.3918,0.0131,0.0,0.1773,0.018
emnist_letters,superposition,single_only,overlay,2,0.1857,0.3478,0.0192,1.0,0.1672,0.0285
emnist_letters,superposition,oracle,overlay,0,0.411,0.4942,0.0143,0.0,0.3502,0.0438
emnist_letters,superposition,oracle,overlay,1,0.4246,0.5118,0.0155,0.0,0.364,0.0396
emnist_letters,superposition,oracle,overlay,2,0.3868,0.4955,0.0143,0.0,0.3468,0.0464
