dataset,regime,arm,matched,seed,bit_f1,mAP,far,normal_far,pos_prob,neg_prob
fashionmnist,superposition,partition,overlay,2,0.3248,0.5928,0.0181,0.0,0.2706,0.0507
fashionmnist,superposition,cutmix,overlay,0,0.3438,0.5858,0.0219,0.0,0.316,0.0858
fashionmnist,superposition,cutmix,overlay,1,0.351,0.569,0.0241,0.0,0.3194,0.089
fashionmnist,superposition,cutmix,overlay,2,0.3435,0.5764,0.0231,0.0,0.3207,0.0902
fashionmnist,superposition,mixup,overlay,0,0.4,0.6339,0.0325,1.0,0.3599,0.0613
fashionmnist,superposition,mixup,overlay,1,0.4666,0.6384,0.0339,1.0,0.3944,0.0693
fashionmnist,superposition,mixup,overlay,2,0.3999,0.6208,0.0278,1.0,0.3517,0.0685
fashionmnist,superposition,single_only,overlay,0,0.2662,0.5484,0.0261,1.0,0.2337,0.0575
fashionmnist,superposition,single_only,overlay,1,0.2292,0.536,0.0168,0.0,0.2087,0.0519
fashionmnist,superposition,single_only,overlay,2,0.2496,0.535,0.0213,1.0,0.22,0.0538
fashionmnist,superposition,oracle,overlay,0,0.5736,0.7211,0.0329,0.0,0.5039,0.088
fashionmnist,superposition,oracle,overlay,1,0.6018,0.7249,0.0376,0.0,0.5371,0.0997
fashionmnist,superposition,oracle,overlay,2,0.5776,0.703,0.0467,0.0,0.5309,0.1034
kmnist,partition,overlay,partition,0,0.4621,0.6984,0.0187,0.0,0.3447,0.0289
kmnist,partition,overlay,partition,1,0.5326,0.7126,0.0279,0.0,0.4225,0.0404
kmnist,partition,overlay,partition,2,0.4233,0.674,0.0312,0.0,0.3338,0.0452
kmnist,partition,partition,partition,0,0.6654,0.7679,0.068,0.0,0.6163,0.0924
kmnist,partition,partition,partition,1,0.6969,0.788,0.0552,0.0,0.6497,0.072
kmnist,partition,partition,partition,2,0.6811,0.7814,0.0661,0.0,0.6529,0.083
kmnist,partition,cutmix,partition,0,0.6325,0.7258,0.0624,0.0,0.5768,0.1078
kmnist,partition,cutmix,partition,1,0.6287,0.7136,0.0648,0.0,0.5692,0.1088
kmnist,partition,cutmix,partition,2,0.619,0.7014,0.0576,0.0,0.5528,0.1068
kmnist,partition,mixup,partition,0,0.647,0.7645,0.0503,1.0,0.5704,0.0577
kmnist,partition,mixup,partition,1,0.663,0.7888,0.0611,1.0,0.6161,0.0661
kmnist,partition,mixup,partition,2,0.6222,0.7641,0.0475,1.0,0.5488,0.0534
kmnist,partition,single_only,partition,0,0.3689,0.5784,0.034,1.0,0.2966,0.0485
kmnist,partition,single_only,partition,1,0.3512,0.5746,0.0299,0.0,0.2774,0.0437
kmnist,partition,single_only,partition,2,0.365,0.5621,0.0346,0.0,0.2761,0.0492
kmnist,partition,oracle,partition,0,0.6495,0.7629,0.0737,0.0,0.6151,0.0989
kmnist,partition,oracle,partition,1,0.7016,0.7926,0.0584,0.0,0.6571,0.0727
kmnist,partition,oracle,partition,2,0.6766,0.7839,0.0659,0.0,0.6439,0.082
kmnist,superposition,overlay,overlay,0,0.5425,0.6489,0.0635,1.0,0.4852,0.1091
kmnist,superposition,overlay,overlay,1,0.5682,0.6627,0.0661,0.0,0.517,0.105
kmnist,superposition,overlay,overlay,2,0.5539,0.6523,0.0508,1.0,0.4724,0.1036
kmnist,superposition,partition,overlay,0,0.3365,0.5389,0.0298,0.0,0.2619,0.0443
kmnist,superposition,partition,overlay,1,0.3244,0.5566,0.0301,0.0,0.2541,0.0384
kmnist,superposition,partition,overlay,2,0.3427,0.5616,0.0311,0.0,0.2677,0.0419
kmnist,superposition,cutmix,overlay,0,0.3635,0.5332,0.0499,0.0,0.3299,0.0989
kmnist,superposition,cutmix,overlay,1,0.3741,0.5226,0.0371,0.0,0.3189,0.0872
kmnist,superposition,cutmix,overlay,2,0.3964,0.5373,0.0449,0.0,0.3401,0.0955
kmnist,superposition,mixup,overlay,0,0.4322,0.5718,0.0519,1.0,0.3536,0.0727
kmnist,superposition,mixup,overlay,1,0.4398,0.5974,0.0524,1.0,0.3722,0.0674
kmnist,superposition,mixup,overlay,2,0.438,0.5879,0.0555,1.0,0.3773,0.071
kmnist,superposition,single_only,overlay,0,0.2684,0.4757,0.0389,1.0,0.2329,0.0666
kmnist,superposition,single_only,overlay,1,0.2507,0.4632,0.0434,0.0,0.2207,0.0671
kmnist,superposition,single_only,overlay,2,0.2428,0.4542,0.0417,0.0,0.2115,0.0642
