run_tag,backbone_name,timm_name,family,params_M,img_size,train_time_min,n_train,n_val,best_epoch,best_val_acc,ls,cutmix_p,cell_id,macro_f1,top1_11,bF1_4def,ni_far_pct,ood_far_pct,total_far_pct,status,eval_path
iter97B_dinov3_lr2e5,DINOv3-ConvNeXt-B,convnext_base.dinov3_lvd1689m,DINOv3-CN,89.0,224,5.49,651,163,1,0.9877,0.2,0.25,T0__I13,0.6371,0.3133,0.6371,99.0,12.6562,33.2143,DONE,outputs/iter97B_lr2e5/T7_iter97B_lr2e5_260512_175634/eval_v15direct_n200_best/stage1_260512_180212
iter97B_dinov3_lr2e5_FINAL,DINOv3-ConvNeXt-B,convnext_base.dinov3_lvd1689m,DINOv3-CN,89.0,224,5.49,651,163,20,0.9877,0.2,0.25,T0__I3,0.7664,0.5094,0.7664,100.0,100.0,100.0,DONE,outputs/iter97B_lr2e5/T7_iter97B_lr2e5_260512_175634/eval_v15direct_n200_final/stage1_260512_180236
iter97B_dinov3_lr2e5_FINAL,DINOv3-ConvNeXt-B,convnext_base.dinov3_lvd1689m,DINOv3-CN,89.0,224,5.49,651,163,20,0.9877,0.2,0.25,T0__I7,0.7541,0.4244,0.7541,100.0,100.0,100.0,DONE,outputs/iter97B_lr2e5/T7_iter97B_lr2e5_260512_175634/eval_v15direct_n200_final/stage1_260512_180236
iter97B_dinov3_lr2e5_FINAL,DINOv3-ConvNeXt-B,convnext_base.dinov3_lvd1689m,DINOv3-CN,89.0,224,5.49,651,163,20,0.9877,0.2,0.25,T0__I10,0.7529,0.4247,0.7529,79.5,98.2812,93.8095,DONE,outputs/iter97B_lr2e5/T7_iter97B_lr2e5_260512_175634/eval_v15direct_n200_final/stage1_260512_180236
iter97B_dinov3_lr2e5_FINAL,DINOv3-ConvNeXt-B,convnext_base.dinov3_lvd1689m,DINOv3-CN,89.0,224,5.49,651,163,20,0.9877,0.2,0.25,T0__I13,0.6723,0.4188,0.6723,78.0,94.2188,90.3571,DONE,outputs/iter97B_lr2e5/T7_iter97B_lr2e5_260512_175634/eval_v15direct_n200_final/stage1_260512_180236
iter97C_dinov3_lr1e5,DINOv3-ConvNeXt-B,convnext_base.dinov3_lvd1689m,DINOv3-CN,89.0,224,5.47,651,163,8,0.9877,0.2,0.25,T0__I3,0.7778,0.5023,0.7778,100.0,100.0,100.0,DONE,outputs/iter97C_lr1e5/T7_iter97C_lr1e5_260512_180259/eval_v15direct_n200_best/stage1_260512_180834
iter97C_dinov3_lr1e5,DINOv3-ConvNeXt-B,convnext_base.dinov3_lvd1689m,DINOv3-CN,89.0,224,5.47,651,163,8,0.9877,0.2,0.25,T0__I7,0.7792,0.5097,0.7792,100.0,100.0,100.0,DONE,outputs/iter97C_lr1e5/T7_iter97C_lr1e5_260512_180259/eval_v15direct_n200_best/stage1_260512_180834
iter97C_dinov3_lr1e5,DINOv3-ConvNeXt-B,convnext_base.dinov3_lvd1689m,DINOv3-CN,89.0,224,5.47,651,163,8,0.9877,0.2,0.25,T0__I10,0.8129,0.5292,0.8129,49.5,42.6562,44.2857,DONE,outputs/iter97C_lr1e5/T7_iter97C_lr1e5_260512_180259/eval_v15direct_n200_best/stage1_260512_180834
iter97C_dinov3_lr1e5,DINOv3-ConvNeXt-B,convnext_base.dinov3_lvd1689m,DINOv3-CN,89.0,224,5.47,651,163,8,0.9877,0.2,0.25,T0__I13,0.6657,0.4711,0.6657,35.5,23.2812,26.1905,DONE,outputs/iter97C_lr1e5/T7_iter97C_lr1e5_260512_180259/eval_v15direct_n200_best/stage1_260512_180834
iter97C_dinov3_lr1e5_FINAL,DINOv3-ConvNeXt-B,convnext_base.dinov3_lvd1689m,DINOv3-CN,89.0,224,5.47,651,163,20,0.9877,0.2,0.25,T0__I3,0.7596,0.5006,0.7596,100.0,100.0,100.0,DONE,outputs/iter97C_lr1e5/T7_iter97C_lr1e5_260512_180259/eval_v15direct_n200_final/stage1_260512_180857
iter97C_dinov3_lr1e5_FINAL,DINOv3-ConvNeXt-B,convnext_base.dinov3_lvd1689m,DINOv3-CN,89.0,224,5.47,651,163,20,0.9877,0.2,0.25,T0__I7,0.7551,0.4688,0.7551,100.0,100.0,100.0,DONE,outputs/iter97C_lr1e5/T7_iter97C_lr1e5_260512_180259/eval_v15direct_n200_final/stage1_260512_180857
iter97C_dinov3_lr1e5_FINAL,DINOv3-ConvNeXt-B,convnext_base.dinov3_lvd1689m,DINOv3-CN,89.0,224,5.47,651,163,20,0.9877,0.2,0.25,T0__I10,0.7625,0.4734,0.7625,73.0,91.0938,86.7857,DONE,outputs/iter97C_lr1e5/T7_iter97C_lr1e5_260512_180259/eval_v15direct_n200_final/stage1_260512_180857
iter97C_dinov3_lr1e5_FINAL,DINOv3-ConvNeXt-B,convnext_base.dinov3_lvd1689m,DINOv3-CN,89.0,224,5.47,651,163,20,0.9877,0.2,0.25,T0__I13,0.6246,0.4185,0.6246,67.5,75.625,73.6905,DONE,outputs/iter97C_lr1e5/T7_iter97C_lr1e5_260512_180259/eval_v15direct_n200_final/stage1_260512_180857
iter99A_convnextv2_b_ep10_bf6,ConvNeXtV2-B-384,convnextv2_base.fcmae_ft_in22k_in1k_384,ConvNeXt V2,88.0,384,7.58,651,163,6,0.9816,0.2,0.25,T0__I3,0.7737,0.5097,0.7737,100.0,100.0,100.0,DONE,outputs/iter99A_convnextv2_b/T7_iter99A_convnextv2_b_260512_191743/eval_v15direct_n200/stage1_260512_192525
iter99A_convnextv2_b_ep10_bf6,ConvNeXtV2-B-384,convnextv2_base.fcmae_ft_in22k_in1k_384,ConvNeXt V2,88.0,384,7.58,651,163,6,0.9816,0.2,0.25,T0__I7,0.7884,0.5026,0.7884,100.0,100.0,100.0,DONE,outputs/iter99A_convnextv2_b/T7_iter99A_convnextv2_b_260512_191743/eval_v15direct_n200/stage1_260512_192525
iter99A_convnextv2_b_ep10_bf6,ConvNeXtV2-B-384,convnextv2_base.fcmae_ft_in22k_in1k_384,ConvNeXt V2,88.0,384,7.58,651,163,6,0.9816,0.2,0.25,T0__I10,0.8367,0.5519,0.8367,0.5,15.7812,12.1429,DONE,outputs/iter99A_convnextv2_b/T7_iter99A_convnextv2_b_260512_191743/eval_v15direct_n200/stage1_260512_192525
iter99A_convnextv2_b_ep10_bf6,ConvNeXtV2-B-384,convnextv2_base.fcmae_ft_in22k_in1k_384,ConvNeXt V2,88.0,384,7.58,651,163,6,0.9816,0.2,0.25,T0__I13,0.7052,0.5143,0.7052,0.0,0.1562,0.119,DONE,outputs/iter99A_convnextv2_b/T7_iter99A_convnextv2_b_260512_191743/eval_v15direct_n200/stage1_260512_192525
