chain,iter,tag,variant,bit_F1,ni_far_pct,ood_far_pct,total_far_pct,seed,LS,source
v10,1,soup_v1_3way_uniform_mean,I13,0.9564,0.00,0.00,0.00,1+77+1KD,0.30,outputs/soup_v1_3way/eval_n2000_pred/stage1_260517_201557/preds_chip.parquet
v15,1,KD_v11_a025_T2_skipcm_v15,I3,0.9143,100.00,100.00,100.00,1,0.30,outputs/KD_v11_a025_T2_skipcm_v15/20260518_043734_T7_KD_v11_a025_T2_skipcm/eval_n2000_pred/stage1_260518_044114/preds_chip.parquet
v15,1,KD_v11_a025_T2_skipcm_v15,I7,0.9065,100.00,100.00,100.00,1,0.30,outputs/KD_v11_a025_T2_skipcm_v15/20260518_043734_T7_KD_v11_a025_T2_skipcm/eval_n2000_pred/stage1_260518_044114/preds_chip.parquet
v15,1,KD_v11_a025_T2_skipcm_v15,I10,0.9192,0.00,0.00,0.00,1,0.30,outputs/KD_v11_a025_T2_skipcm_v15/20260518_043734_T7_KD_v11_a025_T2_skipcm/eval_n2000_pred/stage1_260518_044114/preds_chip.parquet
v15,1,KD_v11_a025_T2_skipcm_v15,I13,0.8574,0.00,0.00,0.00,1,0.30,outputs/KD_v11_a025_T2_skipcm_v15/20260518_043734_T7_KD_v11_a025_T2_skipcm/eval_n2000_pred/stage1_260518_044114/preds_chip.parquet
v15,2,KD_v12_a030_T3_skipcm_v15,I3,0.9362,100.00,100.00,100.00,1,0.30,outputs/KD_v12_a030_T3_skipcm_v15/20260518_044903_T7_KD_v12_a030_T3_skipcm/eval_n2000_pred/stage1_260518_045541/preds_chip.parquet
v15,2,KD_v12_a030_T3_skipcm_v15,I7,0.9341,100.00,100.00,100.00,1,0.30,outputs/KD_v12_a030_T3_skipcm_v15/20260518_044903_T7_KD_v12_a030_T3_skipcm/eval_n2000_pred/stage1_260518_045541/preds_chip.parquet
v15,2,KD_v12_a030_T3_skipcm_v15,I10,0.9470,0.00,0.00,0.00,1,0.30,outputs/KD_v12_a030_T3_skipcm_v15/20260518_044903_T7_KD_v12_a030_T3_skipcm/eval_n2000_pred/stage1_260518_045541/preds_chip.parquet
v15,2,KD_v12_a030_T3_skipcm_v15,I13,0.8750,0.00,0.16,0.04,1,0.30,outputs/KD_v12_a030_T3_skipcm_v15/20260518_044903_T7_KD_v12_a030_T3_skipcm/eval_n2000_pred/stage1_260518_045541/preds_chip.parquet
v19,1,KD_6way_a025_T2_skipcm_v19,I3,0.8125,100.00,100.00,100.00,1,0.30,outputs/KD_6way_a025_T2_skipcm_v19/20260518_191740_T7_KD_6way_a025_T2_skipcm/eval_n2000_pred/stage1_260518_200530/preds_chip.parquet
v19,1,KD_6way_a025_T2_skipcm_v19,I7,0.7515,100.00,100.00,100.00,1,0.30,outputs/KD_6way_a025_T2_skipcm_v19/20260518_191740_T7_KD_6way_a025_T2_skipcm/eval_n2000_pred/stage1_260518_200530/preds_chip.parquet
v19,1,KD_6way_a025_T2_skipcm_v19,I10,0.7748,0.00,0.00,0.00,1,0.30,outputs/KD_6way_a025_T2_skipcm_v19/20260518_191740_T7_KD_6way_a025_T2_skipcm/eval_n2000_pred/stage1_260518_200530/preds_chip.parquet
v19,1,KD_6way_a025_T2_skipcm_v19,I13,0.7298,0.00,0.00,0.00,1,0.30,outputs/KD_6way_a025_T2_skipcm_v19/20260518_191740_T7_KD_6way_a025_T2_skipcm/eval_n2000_pred/stage1_260518_200530/preds_chip.parquet
fcm,1,fcm_nopair_g4_2ep,I3,0.8784,99.90,95.78,98.90,42,0.30,outputs/fcm_nopair_g4/20260520_192505_T7_T7_fcm_nopair_g4/eval_n2000_pred/stage1_260520_195914/preds_chip.parquet
fcm,1,fcm_nopair_g4_2ep,I7,0.8655,98.95,90.00,96.78,42,0.30,outputs/fcm_nopair_g4/20260520_192505_T7_T7_fcm_nopair_g4/eval_n2000_pred/stage1_260520_195914/preds_chip.parquet
fcm,1,fcm_nopair_g4_2ep,I10,0.9328,0.55,1.25,0.72,42,0.30,outputs/fcm_nopair_g4/20260520_192505_T7_T7_fcm_nopair_g4/eval_n2000_pred/stage1_260520_195914/preds_chip.parquet
fcm,1,fcm_nopair_g4_2ep,I13,0.8749,2.60,0.31,2.05,42,0.30,outputs/fcm_nopair_g4/20260520_192505_T7_T7_fcm_nopair_g4/eval_n2000_pred/stage1_260520_195914/preds_chip.parquet
fcm,1,fcm_pair_cls03_1ep,I3,0.9183,100.00,100.00,100.00,42,0.30,outputs/fcm_pair_cls03/20260520_210505_T7_T7_fcm_pair_cls03/eval_n2000_pred/stage1_260520_212540/preds_chip.parquet
fcm,1,fcm_pair_cls03_1ep,I7,0.9143,100.00,100.00,100.00,42,0.30,outputs/fcm_pair_cls03/20260520_210505_T7_T7_fcm_pair_cls03/eval_n2000_pred/stage1_260520_212540/preds_chip.parquet
fcm,1,fcm_pair_cls03_1ep,I10,0.8876,4.40,5.00,4.55,42,0.30,outputs/fcm_pair_cls03/20260520_210505_T7_T7_fcm_pair_cls03/eval_n2000_pred/stage1_260520_212540/preds_chip.parquet
fcm,1,fcm_pair_cls03_1ep,I13,0.7875,55.70,35.47,50.80,42,0.30,outputs/fcm_pair_cls03/20260520_210505_T7_T7_fcm_pair_cls03/eval_n2000_pred/stage1_260520_212540/preds_chip.parquet
fcm_margin,1,fcm_margin_g2_cls05_ls30_pair_best,I10,0.9806,0.2055,0.3094,0.2307,42,0.30,outputs/fcm_margin_g2_cls05_ls30_pair/20260521_*/eval_n2000_margin_best/bit_far_metrics.json
fcm_margin,1,fcm_margin_g2_cls05_ls30_pair_final,I10,0.9748,0.0040,0.0141,0.0064,42,0.30,outputs/fcm_margin_g2_cls05_ls30_pair/20260521_*/eval_n2000_margin_final/bit_far_metrics.json
fcm_margin,2,fcm_margin_g2_cls05_ls30_nopair_best,I10,0.9872,0.3880,0.4188,0.3955,42,0.30,outputs/fcm_margin_g2_cls05_ls30_nopair/20260521_*/eval_n2000_margin_best/bit_far_metrics.json
fcm_margin,2,fcm_margin_g2_cls05_ls30_nopair_final,I10,0.9689,0.0450,0.0172,0.0383,42,0.30,outputs/fcm_margin_g2_cls05_ls30_nopair/20260521_*/eval_n2000_margin_final/bit_far_metrics.json
fcm_margin,3,fcm_margin_g3_cls03_ls30_pair_best,I10,0.9590,0.3870,0.3484,0.3777,42,0.30,outputs/fcm_margin_g3_cls03_ls30_pair/20260521_*/eval_n2000_margin_best/bit_far_metrics.json
fcm_margin,4,fcm_margin_g3_cls03_ls30_nopair_best,I10,0.9632,0.1100,0.1672,0.1239,42,0.30,outputs/fcm_margin_g3_cls03_ls30_nopair/20260521_*/eval_n2000_margin_best/bit_far_metrics.json
fcm_margin,5,fcm_margin_g3_cls05_ls40_pair_best,I10,0.9699,0.0045,0.0109,0.0061,42,0.40,outputs/fcm_margin_g3_cls05_ls40_pair/20260521_*/eval_n2000_margin_best/bit_far_metrics.json
fcm_margin,5,fcm_margin_g3_cls05_ls40_pair_final,I10,0.9686,0.0225,0.0297,0.0242,42,0.40,outputs/fcm_margin_g3_cls05_ls40_pair/20260521_*/eval_n2000_margin_final/bit_far_metrics.json
fcm_margin,6,fcm_margin_g3_cls05_ls40_nopair_best,I10,0.9565,0.0000,0.0063,0.0015,42,0.40,outputs/fcm_margin_g3_cls05_ls40_nopair/20260521_*/eval_n2000_margin_best/bit_far_metrics.json
fcm_margin,6,fcm_margin_g3_cls05_ls40_nopair_final,I10,0.9705,0.0010,0.0187,0.0053,42,0.40,outputs/fcm_margin_g3_cls05_ls40_nopair/20260521_*/eval_n2000_margin_final/bit_far_metrics.json
fcm_margin,7,fcm_margin_g3_cls07_ls30_pair_best,I10,0.9918,0.0000,0.4750,0.1152,42,0.30,outputs/fcm_margin_g3_cls07_ls30_pair/20260521_*/eval_n2000_margin_best/bit_far_metrics.json
fcm_margin,7,fcm_margin_g3_cls07_ls30_pair_final,I10,0.9924,0.0000,0.4766,0.1155,42,0.30,outputs/fcm_margin_g3_cls07_ls30_pair/20260521_*/eval_n2000_margin_final/bit_far_metrics.json
